id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1371247983128350722,1371099442728857606,2021-03-15 00:52:50 CET,2021-03-15,00:52:50,+0200,1084483223848140800,maria82619343,Maria,,"@juanlayavargas @VTVcanal8 @NicolasMaduro ""El día del pescador y pescadora son combustible y combustibla"" Será el pescardor parado.",es,[],[],[],0,0,1,[],[],https://twitter.com/Maria82619343/status/1371247983128350722,False,,0,,,,,,,,"[{'screen_name': 'juanlayavargas', 'name': 'Juan Luis Laya Rodríguez', 'id': '142727616'}, {'screen_name': 'VTVcanal8', 'name': 'VTV CANAL 8', 'id': '118864905'}, {'screen_name': 'NicolasMaduro', 'name': 'Nicolás Maduro', 'id': '1252764865'}]",,,,
1371247982557982725,1371227829136994305,2021-03-15 00:52:50 CET,2021-03-15,00:52:50,+0200,833795458162184192,digvallejo,Patria Querida.,,@luchaalmada @NicolasMaduro Un poquito pronto!,es,[],[],[],0,0,0,[],[],https://twitter.com/DigVallejo/status/1371247982557982725,False,,0,,,,,,,,"[{'screen_name': 'luchaalmada', 'name': 'Freddy Ñáñez', 'id': '261292955'}, {'screen_name': 'NicolasMaduro', 'name': 'Nicolás Maduro', 'id': '1252764865'}]",,,,
1371247956389662720,1371247956389662720,2021-03-15 00:52:44 CET,2021-03-15,00:52:44,+0200,1353616352053964800,cmdteuea,CMDTEUEA-45,,La .@GNB_CZBolivar en #CombatePrevenciónYControl sigue fortaleciendo el compromiso de nuestros ciudadanos en el cumplimiento de los protocolos de bioseguridad en contra del Covid-19  #14Mar #FANB #GNB #GNBBolívar  #PescadoresDeLaPatria  #GNByPuebloUnido .@NicolasMaduro  https://t.co/O2PNtkBT9u,es,"[{'screen_name': 'gnb_czbolivar', 'name': 'gnb bolívar 😷👍', 'id': '512018475'}, {'screen_name': 'nicolasmaduro', 'name': 'nicolás maduro', 'id': '1252764865'}]",[],"['https://pbs.twimg.com/media/Eweel3wWgAw_jBo.jpg', 'https://pbs.twimg.com/media/EwemvXhXMAUeRDY.jpg']",0,24,11,"['combateprevenciónycontrol', '14mar', 'fanb', 'gnb', 'gnbbolívar', 'pescadoresdelapatria', 'gnbypueblounido']",[],https://twitter.com/cmdteuea/status/1371247956389662720,False,,1,https://pbs.twimg.com/media/Eweel3wWgAw_jBo.jpg,,,,,,,[],,,,
1371247943051841537,1371247943051841537,2021-03-15 00:52:40 CET,2021-03-15,00:52:40,+0200,859175164021547008,an19429,ana ana,,"@NicolasMaduro  la gente no se mueve de casa, por q  riegan q no hay nada en los centros de salud y dicen q prefieren morirse en casa?? Así dicen todos los q les da covid q yo conozco",es,[],[],[],0,0,0,[],[],https://twitter.com/an19429/status/1371247943051841537,False,,0,,,,,,,,[],,,,
1371247926253608961,1371139957679607815,2021-03-15 00:52:36 CET,2021-03-15,00:52:36,+0200,1257499856865804288,margadis2,@margadis,,@CarnetDLaPatria @NicolasMaduro Buenas noches tengo DOS amiga que trabajan en el Delta Amacuro con la gobernación y INE-MUJER y no les llega el bono de empleados públicos a que se debe eso? GRACIAS.,es,[],[],[],0,2,0,[],[],https://twitter.com/margadis2/status/1371247926253608961,False,,0,,,,,,,,"[{'screen_name': 'CarnetDLaPatria', 'name': 'Carnet de la patria', 'id': '814613151392157698'}, {'screen_name': 'NicolasMaduro', 'name': 'Nicolás Maduro', 'id': '1252764865'}]",,,,
1371247911309299717,1371228240254275590,2021-03-15 00:52:33 CET,2021-03-15,00:52:33,+0200,1366015544,carlos644,Carlos Alfaro,,@osmarycnn @NicolasMaduro El tipo confundió aún más a la@poblacion,es,[],[],[],0,0,0,[],[],https://twitter.com/Carlos644/status/1371247911309299717,False,,0,,,,,,,,"[{'screen_name': 'osmarycnn', 'name': 'Osmary Hernandez', 'id': '242739974'}, {'screen_name': 'NicolasMaduro', 'name': 'Nicolás Maduro', 'id': '1252764865'}]",,,,
1371247890681769988,1371247890681769988,2021-03-15 00:52:28 CET,2021-03-15,00:52:28,+0200,1303131592085450753,dilsilva28,ЕdilSilva28,,#PescadoresDeLaPatria #CombatePrevencionYControl @NicolasMaduro @dcabellor @ConElMazoDando  @nestorevolucion @CarnetDLaPatria @JulioCe79847279 @Deyanir91976901 @EdilSilva14 @BELEN267248505 @VTVcanal8 @josemvasquez   @ADICHIRIMARA1,und,"[{'screen_name': 'nicolasmaduro', 'name': 'nicolás maduro', 'id': '1252764865'}, {'screen_name': 'dcabellor', 'name': 'diosdado cabello r', 'id': '128262354'}, {'screen_name': 'conelmazodando', 'name': 'con el mazo dando', 'id': '2767590820'}, {'screen_name': 'nestorevolucion', 'name': 'néstor giraud g.', 'id': '1948346958'}, {'screen_name': 'carnetdlapatria', 'name': 'carnet de la patria', 'id': '814613151392157698'}, {'screen_name': 'deyanir91976901', 'name': 'deyanira del carmen silva lopez', 'id': '1155576980441567236'}, {'screen_name': 'edilsilva14', 'name': 'edil silva', 'id': '1287136716827103244'}, {'screen_name': 'belen267248505', 'name': '❤️😘belen2 🤗🙏', 'id': '1210980955319463936'}, {'screen_name': 'vtvcanal8', 'name': 'vtv canal 8', 'id': '118864905'}, {'screen_name': 'josemvasquez', 'name': 'josé vásquez', 'id': '73430372'}, {'screen_name': 'adichirimara1', 'name': 'adichirimara', 'id': '1341280957324734464'}]",[],[],0,16,1,"['pescadoresdelapatria', 'combateprevencionycontrol']",[],https://twitter.com/dilsilva28/status/1371247890681769988,False,,0,,,,,,,,[],,,,
1371247863888543744,1371230675538415626,2021-03-15 00:52:21 CET,2021-03-15,00:52:21,+0200,2951244915,jocaherto33,Johan Hernández,,@alejandranomada @elgallitohipico @VanessaDam69 @PresidencialVen @NicolasMaduro Escucha y razona tu materia gris el presidente quiere decir que No va a ver actividades como una semana de flexibilización lo que sucede es que tu capacidad intelectual es tan arrecha que no te deja pensar bruta,es,[],[],[],1,0,0,[],[],https://twitter.com/jocaherto33/status/1371247863888543744,False,,0,,,,,,,,"[{'screen_name': 'alejandranomada', 'name': 'Alejandra Nomada🤳', 'id': '3735693934'}, {'screen_name': 'elgallitohipico', 'name': 'PARLEYMANIA', 'id': '883871755668004864'}, {'screen_name': 'VanessaDam69', 'name': 'Vanessa Dam 𓂀', 'id': '759553635177074689'}, {'screen_name': 'PresidencialVen', 'name': 'Prensa Presidencial', 'id': '138901003'}, {'screen_name': 'NicolasMaduro', 'name': 'Nicolás Maduro', 'id': '1252764865'}]",,,,
1371247849619480578,1371227829136994305,2021-03-15 00:52:18 CET,2021-03-15,00:52:18,+0200,2612363139,ricardogca7,"RC ⚖️ Art: 91, 92 CRBV",,"@luchaalmada @NicolasMaduro Entendi algo como, hablas solo, le tiras piedras a los aviones pero no estas loco!!",es,[],[],[],0,0,0,[],[],https://twitter.com/ricardogca7/status/1371247849619480578,False,,0,,,,,,,,"[{'screen_name': 'luchaalmada', 'name': 'Freddy Ñáñez', 'id': '261292955'}, {'screen_name': 'NicolasMaduro', 'name': 'Nicolás Maduro', 'id': '1252764865'}]",,,,
1371247831428763649,1371176631818149890,2021-03-15 00:52:14 CET,2021-03-15,00:52:14,+0200,146913342,arlcda1965,💞👩🎀@nn@rjt@💖💫💯⏰💞,,@JosMaestre3 @NicolasMaduro @Mippcivzla @maestre392 @leydisperdomo4 @yayita43 @yaji_24 @gocho_ve2020 @JGuedez29 @MarjorieMata9 @maria_delgafo @YuniBurgos @yasmi70 @Vilma_Meche gracias x la mencion @JosMaestre3 #PescadoresDeLaPatria,es,"[{'screen_name': 'josmaestre3', 'name': 'josé maestre', 'id': '863522906231406592'}]",[],[],0,11,4,['pescadoresdelapatria'],[],https://twitter.com/arlcda1965/status/1371247831428763649,False,,0,,,,,,,,"[{'screen_name': 'JosMaestre3', 'name': 'José Maestre', 'id': '863522906231406592'}, {'screen_name': 'NicolasMaduro', 'name': 'Nicolás Maduro', 'id': '1252764865'}, {'screen_name': 'Mippcivzla', 'name': 'MIPPCI', 'id': '839299289792774144'}, {'screen_name': 'maestre392', 'name': '@maestre39', 'id': '1362887188426481667'}, {'screen_name': 'leydisperdomo4', 'name': 'leydis perdomo Molina', 'id': '819918791480119296'}, {'screen_name': 'yayita43', 'name': '@yayita43', 'id': '148095273'}, {'screen_name': 'yaji_24', 'name': 'Y@J@💇💆💅', 'id': '309671262'}, {'screen_name': 'gocho_ve2020', 'name': 'CARLOS.A.C.T', 'id': '1280948324154118144'}, {'screen_name': 'JGuedez29', 'name': 'Jorge Luis (tuitero 100% chavista)', 'id': '2947289679'}, {'screen_name': 'MarjorieMata9', 'name': '🇻🇪Marjorie Mata La Beba💋', 'id': '1354078497472393224'}, {'screen_name': 'maria_delgafo', 'name': 'Maria Rafaela Granadillo Delgado', 'id': '1247714434920910856'}, {'screen_name': 'YuniBurgos', 'name': 'Y💗U💓N💕I🌇🅱💮💯💛💙❤', 'id': '1347311960'}, {'screen_name': 'yasmi70', 'name': '@yasmi70 😷🇻🇪🏠❤', 'id': '312986180'}, {'screen_name': 'Vilma_Meche', 'name': '🌹Vilma Picapiedras💞🌹', 'id': '138912680'}]",,,,
